      SDSS-FIRST Complete Data

    Redshift   Lum. Dist.        K-{opt} f_2500A         f_1.4GHz   L_o,    L_r
                  cm                    erg/(s cm2 Hz)     mJy       erg/(s Hz)  erg/(s Hz)

     0.149800 2.16646e+027      1.46196 5.21461e-027      3.05547 2.10377e+029 1.70906e+030
     0.150000 2.16963e+027      1.46150 5.93776e-027      2.34674 2.40327e+029 1.31638e+030
     0.150300 2.17437e+027      1.45914 2.69415e-027      1.01000 1.09699e+029 5.68972e+029
     0.150400 2.17596e+027      1.45836 3.83727e-027      12.4027 1.56555e+029 6.99685e+030
     0.151600 2.19496e+027      1.44901 4.92971e-027      21.8908 2.05975e+029 1.25609e+031
     0.152000 2.20130e+027      1.44592 3.24208e-027      2.19661 1.36537e+029 1.26753e+030
     0.153600 2.22669e+027      1.43368 1.17604e-026      7.22265 5.11090e+029 4.26207e+030
     0.153700 2.22828e+027      1.43293 2.89750e-027      1.64000 1.26168e+029 9.69107e+029
     0.154000 2.23305e+027      1.43066 3.06494e-027      2.05185 1.34243e+029 1.21754e+030
     0.154500 2.24099e+027      1.42689 1.17279e-026      2.31696 5.18705e+029 1.38442e+030
     0.155500 2.25690e+027      1.41942 2.46616e-027      1.23000 1.11210e+029 7.45155e+029
     0.155900 2.26326e+027      1.41646 4.21524e-027      387.192 1.91558e+029 2.35860e+032
     0.155900 2.26326e+027      1.41646 2.75945e-027      1.15000 1.25401e+029 7.00529e+029
     0.156900 2.27919e+027      1.40910 1.11179e-026      64.2803 5.15056e+029 3.96961e+031
     0.158500 2.30472e+027      1.39748 2.73163e-027      1.25000 1.30474e+029 7.88883e+029
     0.159100 2.31430e+027      1.39317 2.90551e-027      7.62000 1.40368e+029 4.84810e+030
     0.160600 2.33828e+027      1.38925 7.33874e-027      1.96000 3.62948e+029 1.27234e+030
     0.162500 2.36871e+027      1.39721 2.87886e-027      1.71477 1.45276e+029 1.14156e+030
     0.163300 2.38154e+027      1.40059 2.26580e-027      6.29550 1.15302e+029 4.23542e+030
     0.163400 2.38315e+027      1.40102 1.20787e-026      1.82000 6.15305e+029 1.22605e+030
     0.164200 2.39599e+027      1.40441 2.69911e-027      14.8532 1.38646e+029 1.01112e+031
     0.164400 2.39920e+027      1.40527 2.44355e-027      4.92000 1.25779e+029 3.35803e+030
     0.165700 2.42010e+027      1.41083 2.86301e-027      3.64000 1.49357e+029 2.52674e+030
     0.168000 2.45715e+027      1.42078 2.77473e-027      1.23195 1.48171e+029 8.80851e+029
     0.168800 2.47005e+027      1.42428 4.19589e-027      2.23072 2.25866e+029 1.61134e+030
     0.169600 2.48297e+027      1.42779 2.73414e-027      2.65000 1.48357e+029 1.93374e+030
     0.170600 2.49913e+027      1.43073 5.53122e-027      11.8667 3.03424e+029 8.76941e+030
     0.170800 2.50236e+027      1.43112 3.90500e-027      2.55620 2.14711e+029 1.89377e+030
     0.171000 2.50559e+027      1.43152 3.43576e-027      1.58000 1.89347e+029 1.17350e+030
     0.171400 2.51207e+027      1.43230 2.70660e-027      1.75000 1.49852e+029 1.30630e+030
     0.172200 2.52502e+027      1.43388 2.33788e-027      2.80378 1.30631e+029 2.11397e+030
     0.172800 2.53474e+027      1.43507 3.55159e-027      3.67615 1.99814e+029 2.79251e+030
     0.173800 2.55095e+027      1.43704 1.90907e-027      2.79000 1.08634e+029 2.14583e+030
     0.173800 2.55095e+027      1.43704 1.93384e-026      738.573 1.10043e+030 5.68048e+032
     0.173900 2.55257e+027      1.43724 1.50808e-026      444.988 8.59129e+029 3.42671e+032
     0.174100 2.55582e+027      1.43764 1.90731e-027      1.96000 1.08903e+029 1.51307e+030
     0.174200 2.55744e+027      1.43784 2.51897e-027      1.53000 1.43990e+029 1.18258e+030
     0.174500 2.56231e+027      1.43843 6.03146e-027      1.90000 3.45943e+029 1.47401e+030
     0.175900 2.58505e+027      1.44122 1.88809e-027      3.15278 1.10012e+029 2.48833e+030
     0.176900 2.60131e+027      1.44322 2.59192e-027      2.39476 1.52717e+029 1.91328e+030
     0.177600 2.61271e+027      1.44462 1.32930e-026      1.38000 7.89337e+029 1.11196e+030
     0.177900 2.61760e+027      1.44522 3.47074e-027      1.57083 2.06778e+029 1.27033e+030
     0.178100 2.62085e+027      1.44562 6.58905e-027      63.4500 3.93427e+029 5.14364e+031
     0.178500 2.62737e+027      1.44642 5.51090e-027      2.81020 3.30507e+029 2.28915e+030
     0.178500 2.62737e+027      1.44642 4.16890e-027      1.95698 2.50023e+029 1.59413e+030
     0.179100 2.63715e+027      1.44763 5.41032e-027      6.93696 3.26623e+029 5.69175e+030
     0.179200 2.63878e+027      1.44783 5.89957e-027      9.63826 3.56551e+029 7.91767e+030
     0.179800 2.64857e+027      1.44904 1.99536e-027      3.60000 1.21388e+029 2.97872e+030
     0.179800 2.64857e+027      1.44904 3.84789e-027      7.35000 2.34087e+029 6.08155e+030
     0.180400 2.65837e+027      1.44949 2.17983e-027      1.86000 1.33551e+029 1.55009e+030
     0.180700 2.66327e+027      1.44953 1.91259e-027      2.55000 1.17607e+029 2.13275e+030
     0.181300 2.67307e+027      1.44961 1.72037e-027      1.97167 1.06562e+029 1.66088e+030
     0.181500 2.67634e+027      1.44964 2.76963e-027      1.25000 1.71971e+029 1.05547e+030
     0.182100 2.68615e+027      1.44972 3.11904e-027      2.54027 1.95078e+029 2.16026e+030
     0.182500 2.69270e+027      1.44977 2.07407e-027      2.98008 1.30350e+029 2.54630e+030
     0.182900 2.69925e+027      1.44983 1.58060e-026      44.7246 9.98162e+029 3.83953e+031
     0.183100 2.70252e+027      1.44985 1.78823e-027      1.82000 1.13200e+029 1.56613e+030
     0.183100 2.70252e+027      1.44985 2.62073e-027      2.24000 1.65900e+029 1.92754e+030
     0.183600 2.71071e+027      1.44992 2.18182e-027      1.13000 1.38948e+029 9.78112e+029
     0.183700 2.71235e+027      1.44993 2.83154e-027      65.4767 1.80541e+029 5.67423e+031
     0.184100 2.71890e+027      1.44999 3.32678e-027      21.2608 2.13137e+029 1.85113e+031
     0.184200 2.72054e+027      1.45000 3.52875e-027      1.49333 2.26347e+029 1.30174e+030
     0.184600 2.72710e+027      1.45005 2.57289e-027      1.15500 1.65825e+029 1.01154e+030
     0.185400 2.74023e+027      1.45016 1.78001e-027      39.3736 1.15822e+029 3.48063e+031
     0.187700 2.77802e+027      1.45047 4.38957e-027      15.1736 2.93490e+029 1.37753e+031
     0.188500 2.79118e+027      1.45057 3.23907e-027      1.62000 2.18608e+029 1.48429e+030
     0.189400 2.80601e+027      1.45069 1.59964e-027      1.25613 1.09102e+029 1.16280e+030
     0.190300 2.82084e+027      1.45057 1.59229e-027      2.56643 1.09762e+029 2.40022e+030
     0.191800 2.84560e+027      1.44957 2.35084e-027      6.06173 1.65022e+029 5.76619e+030
     0.192100 2.85056e+027      1.44937 6.03700e-027      112.554 4.25315e+029 1.07429e+032
     0.192400 2.85551e+027      1.44917 2.86037e-027      1.65000 2.02247e+029 1.58019e+030
     0.196100 2.91677e+027      1.44670 2.38355e-027      17.1364 1.76141e+029 1.71018e+031
     0.196200 2.91843e+027      1.44663 1.49562e-026      3.36408 1.10655e+030 3.36101e+030
     0.196400 2.92175e+027      1.44650 1.55032e-027      5.48000 1.14974e+029 5.48708e+030
     0.196800 2.92838e+027      1.44624 2.39454e-027      5.90000 1.78423e+029 5.93370e+030
     0.197300 2.93669e+027      1.44590 3.94477e-027      1.38000 2.95670e+029 1.39553e+030
     0.198900 2.96328e+027      1.44484 6.18332e-027      1.39000 4.72233e+029 1.43045e+030
     0.199100 2.96660e+027      1.44471 1.93384e-027      2.62593 1.48037e+029 2.70823e+030
     0.199200 2.96827e+027      1.44464 2.99517e-027      1.23000 2.29550e+029 1.26993e+030
     0.200100 2.98324e+027      1.44406 3.23611e-027      1.20167 2.50626e+029 1.25285e+030
     0.200800 2.99490e+027      1.44368 3.98496e-027      7.35608 3.11120e+029 7.72769e+030
     0.201600 3.00824e+027      1.44326 1.65509e-027      1.81441 1.30411e+029 1.92257e+030
     0.201600 3.00824e+027      1.44326 1.78494e-027      2.95000 1.40642e+029 3.12585e+030
     0.202300 3.01991e+027      1.44288 5.68095e-027      13.5719 4.51221e+029 1.44894e+031
     0.202300 3.01991e+027      1.44288 4.13448e-027      4.59895 3.28389e+029 4.90986e+030
     0.204200 3.05165e+027      1.44187 2.31644e-027      3.77495 1.88006e+029 4.11270e+030
     0.204600 3.05834e+027      1.44166 7.71295e-027      3.73813 6.28836e+029 4.08991e+030
     0.204800 3.06168e+027      1.44156 1.72037e-027      5.21000 1.40579e+029 5.71238e+030
     0.205200 3.06837e+027      1.44134 2.70408e-027      5.58000 2.21962e+029 6.14401e+030
     0.206900 3.09684e+027      1.44044 3.26003e-027      5.17000 2.72756e+029 5.79543e+030
     0.206900 3.09684e+027      1.44044 1.53469e-027      2.93043 1.28403e+029 3.28493e+030
     0.207600 3.10858e+027      1.44007 1.05687e-026      4.60421 8.91194e+029 5.19918e+030
     0.208000 3.11529e+027      1.43986 1.69989e-027      1.39000 1.43982e+029 1.57619e+030
     0.208000 3.11529e+027      1.43986 1.72037e-027      4.42000 1.45716e+029 5.01207e+030
     0.209500 3.14047e+027      1.43906 2.14794e-027      2.13515 1.84987e+029 2.45924e+030
     0.210000 3.14887e+027      1.43880 1.60260e-027      28.5125 1.38785e+029 3.30109e+031
     0.211000 3.16569e+027      1.43787 1.48054e-027      5.18000 1.29673e+029 6.05946e+030
     0.211100 3.16737e+027      1.43778 1.41652e-027      1.17108 1.24205e+029 1.37132e+030
     0.211300 3.17074e+027      1.43759 4.55011e-027      2.07000 3.99868e+029 2.42893e+030
     0.211400 3.17242e+027      1.43750 4.55011e-027      2.88000 4.00319e+029 3.38286e+030
     0.211400 3.17242e+027      1.43750 4.72957e-027      1.17000 4.16108e+029 1.37429e+030
     0.212100 3.18420e+027      1.43685 1.99169e-027      1.71921 1.76613e+029 2.03395e+030
     0.212700 3.19431e+027      1.43629 3.83375e-027      1.93000 3.42252e+029 2.29740e+030
     0.213500 3.20780e+027      1.43555 1.67657e-027      1.42218 1.51018e+029 1.70678e+030
     0.213800 3.21286e+027      1.43527 1.42831e-027      1.89000 1.29087e+029 2.27516e+030
     0.214700 3.22805e+027      1.43444 3.79859e-027      2.69000 3.46761e+029 3.26791e+030
     0.215200 3.23649e+027      1.43398 1.74591e-027      1.09000 1.60265e+029 1.33089e+030
     0.215500 3.24156e+027      1.43370 1.50808e-027      2.13835 1.38894e+029 2.61884e+030
     0.215600 3.24325e+027      1.43361 2.61832e-027      1.50076 2.41414e+029 1.83984e+030
     0.215800 3.24663e+027      1.43342 1.69833e-027      371.123 1.56936e+029 4.55894e+032
