 |                              | |                              |            |            |      |          |    |      | SDSS-DR6 u  | SDSS-DR6 u  | SDSS-DR6 g  | SDSS-DR6 g  | SDSS-DR6 r  | SDSS-DR6 r  | SDSS-DR6 i  | SDSS-DR6 i  | SDSS-DR6 z  | SDSS-DR6 z  |    FIRST    |    FIRST    
 |      Input Object Name       | |         Object Name          |     RA     |    Dec     |Object| Redshift | z  |Mag./ |   PSF AB    |   PSF AB    |   PSF AB    |   PSF AB    |   PSF AB    |   PSF AB    |   PSF AB    |   PSF AB    |   PSF AB    |   PSF AB    |   1.4 GHz   |   1.4 GHz   
 |   (E/W Hover for Messages)   | | (* Hover for Essential Note) |  J2000.0   |  J2000.0   | Type |          |Qual|Filter|  Pub-flux   | Homog-flux  |  Pub-flux   | Homog-flux  |  Pub-flux   | Homog-flux  |  Pub-flux   | Homog-flux  |  Pub-flux   | Homog-flux  |  Pub-flux   | Homog-flux  
 |                              | |                              |            |            |      |          |    |      |  asinh mag  |  W/m^2/Hz   |  asinh mag  |  W/m^2/Hz   |  asinh mag  |  W/m^2/Hz   |  asinh mag  |  W/m^2/Hz   |  asinh mag  |  W/m^2/Hz   |   milliJy   |  W/m^2/Hz    
 |PKS0440-00                    | |[HB89] 0440-003               |04h42m38.66s|-00d17m43.4s|QSO   |  0.844000|    | 19.22|             |             |             |             |             |             |             |             |             |             |             |             
 |PKS0446+11                    |*|PKS 0446+11                   |04h49m07.67s|+11d21m28.6s|G     |  1.207000|    |  20.0|             |             |             |             |             |             |             |             |             |             |             |             
 |S30503-04                     | |[HB89] 0503-043               |05h05m51.24s|-04d19m26.6s|QSO   |  1.481000|    |  18.5|             |             |             |             |             |             |             |             |             |             |             |             
 |4C+14.23                      | |4C +14.23                     |07h25m16.81s|+14d25m13.7s|QSO   |  1.038000|    |  19.0|             |             |             |             |             |             |             |             |             |             |             |             
 |GB6J0731+6718                 | |WISE J073125.40+671847.0      |07h31m25.40s|+67d18m47.1s|G     |  0.170000|    |      |             |             |             |             |             |             |             |             |             |             |             |             
 |B20743+25                     |*|B2 0743+25                    |07h46m25.87s|+25d49m02.1s|QSO   |  2.987498|    | 19.8g|       20.756|     1.88E-31|       19.712|     4.73E-31|       19.501|     5.75E-31|       19.424|     6.17E-31|       19.480|     5.74E-31|             |             
 |S30745+24                     | |PKS 0745+241                  |07h48m36.11s|+24d00m24.1s|QSO   |  0.409854|    | 19.2g|       19.811|     4.48E-31|       19.218|     7.46E-31|       18.601|     1.32E-30|       18.217|     1.88E-30|       18.239|     1.80E-30|             |             
 |OI280                         |*|[HB89] 0748+126               |07h50m52.05s|+12d31m04.8s|QSO   |  0.889000|    |  17.8|       17.864|     2.69E-30|       17.494|     3.65E-30|       17.279|     4.45E-30|       17.213|     4.73E-30|       17.051|     5.39E-30|             |             
 |TXS0755+117                   | |WISE J075807.64+113645.9      |07h58m07.66s|+11d36m46.1s|QSO   |  0.568712|    | 17.8g|       18.011|     2.35E-30|       17.763|     2.85E-30|       17.996|     2.30E-30|       17.988|     2.32E-30|       17.924|     2.41E-30|             |             
 |PKSB0802-010                  |*|GALEXASC J080512.88-011114.1  |08h05m12.89s|-01d11m13.8s|G     |  1.388000|    |  17.5|             |             |             |             |             |             |             |             |             |             |             |             
 |OJ508                         |*|SBS 0804+499                  |08h08m39.67s|+49d50m36.5s|QSO   |  1.435161|    | 19.1g|       19.312|     7.10E-31|       19.090|     8.39E-31|       18.696|     1.21E-30|       18.558|     1.37E-30|       18.445|     1.49E-30|             |             
 |SDSSJ080754.50+494627.6       | |SDSS J080754.50+494627.6      |08h07m54.51s|+49d46m27.6s|QSO   |  0.574694|    | 20.3g|       21.112|     1.35E-31|       20.272|     2.83E-31|       19.716|     4.72E-31|       18.903|     9.97E-31|       19.086|     8.26E-31|             |             
 |PKS0805-07                    | |[HB89] 0805-077               |08h08m15.54s|-07d51m09.9s|QSO   |  1.837000|    |  18.4|             |             |             |             |             |             |             |             |             |             |             |             
 |S40805+41                     | |FBQS J080856.6+405244         |08h08m56.65s|+40d52m44.9s|QSO   |  1.420010|    | 19.5g|       19.340|     6.92E-31|       19.473|     5.90E-31|       18.937|     9.67E-31|       18.919|     9.83E-31|       18.953|     9.34E-31|       608.95|     6.09E-27
 |B30819+408                    | |B3 0819+408                   |08h22m57.56s|+40d41m49.8s|QSO   |  0.864948|    | 19.1g|       19.552|     5.69E-31|       19.083|     8.45E-31|       18.893|     1.01E-30|       18.936|     9.67E-31|       18.766|     1.11E-30|             |             
 |B20821+24                     |*|B2 0821+24                    |08h24m33.01s|+24d38m43.1s|QSO   |  1.242000|    | 19.94|       19.748|     4.75E-31|       19.698|     4.80E-31|       19.357|     6.56E-31|       19.194|     7.63E-31|       19.091|     8.23E-31|             |             
 |4C+39.23                      |*|FBQS J082455.4+391641         |08h24m55.48s|+39d16m41.9s|QSO   |  1.215921|    | 18.3g|       18.527|     1.46E-30|       18.240|     1.84E-30|       17.934|     2.43E-30|       17.660|     3.13E-30|       17.399|     3.91E-30|      1458.24|     1.46E-26
 |OJ535                         | |SBS 0820+560                  |08h24m47.24s|+55d52m42.7s|QSO   |  1.421334|    | 18.4g|       18.505|     1.49E-30|       18.369|     1.63E-30|       18.076|     2.14E-30|       17.915|     2.48E-30|       17.879|     2.51E-30|             |             
 |TXS0824+524                   |*|WISE J082753.68+521758.2      |08h27m53.70s|+52d17m58.3s|QSO   |  0.337622|    | 19.8g|       19.936|     4.00E-31|       19.908|     3.95E-31|       19.282|     7.03E-31|       18.931|     9.72E-31|       18.273|     1.75E-30|             |             
 |OJ248                         |*|FBQS J083052.0+241059         |08h30m52.09s|+24d10m59.8s|QSO   |  0.941400|    | 17.4g|       17.653|     3.27E-30|       17.362|     4.12E-30|       17.104|     5.23E-30|       17.042|     5.54E-30|       16.918|     6.09E-30|             |             
 |OJ451                         | |FBQS J083353.8+422401         |08h33m53.89s|+42d24m01.9s|QSO   |  0.249153|    | 17.3g|       17.837|     2.76E-30|       17.316|     4.30E-30|       16.861|     6.54E-30|       16.522|     8.94E-30|       16.249|     1.13E-29|             |             
 |PKS0837+012                   | |PKS 0837+012                  |08h39m49.61s|+01d04m26.7s|QSO   |  1.123000|    |  19.0|       19.551|     5.70E-31|       19.438|     6.09E-31|       19.067|     8.57E-31|       19.062|     8.61E-31|       19.337|     6.55E-31|             |             
 |S40859+47                     | |[HB89] 0859+470               |09h03m03.99s|+46d51m04.1s|QSO   |  1.464988|    | 19.4g|       19.362|     6.78E-31|       19.340|     6.67E-31|       18.987|     9.23E-31|       18.780|     1.12E-30|       18.756|     1.12E-30|             |             
 |GB6J0905+2748A                |*|SDSS J090504.05+274817.7      |09h05m04.05s|+27d48m17.7s|QSO   |  1.487497|    | 20.2g|       20.637|     2.09E-31|       20.195|     3.03E-31|       19.819|     4.29E-31|       19.479|     5.87E-31|       19.438|     5.97E-31|             |             
 |PKS0906+01                    | |[HB89] 0906+015               |09h09m10.09s|+01d21m35.6s|QSO   |  1.024905|    | 17.3g|       17.547|     3.61E-30|       17.268|     4.50E-30|       17.021|     5.64E-30|       16.936|     6.10E-30|       16.848|     6.50E-30|             |             
 |PKS0907-023                   | |[HB89] 0907-023               |09h09m44.92s|-02d31m30.4s|QSO   |  0.957000|    | 18.56|             |             |             |             |             |             |             |             |             |             |             |             
 |TXS0907+230                   |*|SDSS J091042.12+224835.5      |09h10m42.13s|+22d48m35.6s|QSO   |  2.661000|    | 21.1g|       21.679|     7.99E-32|       21.109|     1.31E-31|       20.996|     1.45E-31|       21.260|     1.13E-31|       20.392|     2.46E-31|             |             
 |B20909+34                     |*|B2 0909+34                    |09h12m06.88s|+33d48m31.1s|RadioS|          |    |      |             |             |             |             |             |             |             |             |             |             |             |             
 |S40913+39                     | |4C +38.28                     |09h16m48.90s|+38d54m28.1s|QSO   |  1.267541|    | 19.4g|       19.601|     5.44E-31|       19.369|     6.49E-31|       18.876|     1.02E-30|       18.615|     1.30E-30|       18.325|     1.67E-30|      1070.46|     1.07E-26
 |S40917+44                     | |[HB89] 0917+449               |09h20m58.46s|+44d41m54.0s|QSO   |  2.186448|    | 18.1g|       18.668|     1.28E-30|       18.079|     2.13E-30|       17.919|     2.47E-30|       17.704|     3.01E-30|       17.422|     3.83E-30|             |             
 |OK630                         | |WISE J092136.24+621552.2      |09h21m36.23s|+62d15m52.2s|QSO   |  1.446000|   :|  19.5|       19.561|     5.64E-31|       19.273|     7.09E-31|       18.658|     1.25E-30|       18.345|     1.67E-30|       18.248|     1.79E-30|             |             
 |B20920+28                     |*|B2 0920+28                    |09h23m51.52s|+28d15m25.0s|QSO   |  0.744142|    | 19.3g|       19.728|     4.84E-31|       19.265|     7.15E-31|       19.158|     7.89E-31|       19.110|     8.24E-31|       18.900|     9.81E-31|             |             
 |GB6J0937+5008                 | |WISE J093712.32+500852.1      |09h37m12.33s|+50d08m52.1s|QSO   |  0.275468|    | 19.1g|       19.721|     4.87E-31|       19.153|     7.92E-31|       18.522|     1.42E-30|       18.099|     2.09E-30|       17.746|     2.84E-30|             |             
 |MG2J094148+2728               | |SDSS J094148.11+272838.8      |09h41m48.12s|+27d28m38.8s|QSO   |  1.308695|    | 19.3g|       19.365|     6.76E-31|       19.281|     7.04E-31|       18.899|     1.00E-30|       18.733|     1.17E-30|       18.552|     1.35E-30|             |             
 |TXS0943+105                   |*|WISE J094635.06+101706.1      |09h46m35.07s|+10d17m06.1s|QSO   |  1.004451|    | 19.6g|       19.932|     4.01E-31|       19.553|     5.48E-31|       19.243|     7.29E-31|       19.318|     6.80E-31|       19.207|     7.39E-31|             |             
 |4C+40.24                      | |FBQS J094855.3+403944         |09h48m55.34s|+40d39m44.6s|QSO   |  1.249964|    | 17.9g|       17.756|     2.98E-30|       17.835|     2.67E-30|       17.598|     3.32E-30|       17.507|     3.61E-30|       17.548|     3.41E-30|      1538.22|     1.54E-26
