                              | |                              |      |          |    |      | SDSS-DR6 u  | SDSS-DR6 u  | SDSS-DR6 g  | SDSS-DR6 g  | SDSS-DR6 r  | SDSS-DR6 r  | SDSS-DR6 i  | SDSS-DR6 i  | SDSS-DR6 z  | SDSS-DR6 z  |    FIRST    |    FIRST    
      Input Object Name       | |         Object Name          |Object| Redshift | z  |Mag./ |   PSF AB    |   PSF AB    |   PSF AB    |   PSF AB    |   PSF AB    |   PSF AB    |   PSF AB    |   PSF AB    |   PSF AB    |   PSF AB    |   1.4 GHz   |   1.4 GHz   
                              | | (* Hover for Essential Note) | Type |          |Qual|Filter|  Pub-flux   | Homog-flux  |  Pub-flux   | Homog-flux  |  Pub-flux   | Homog-flux  |  Pub-flux   | Homog-flux  |  Pub-flux   | Homog-flux  |  Pub-flux   | Homog-flux  
                              | |                              |      |          |    |      |  asinh mag  |  W/m^2/Hz   |  asinh mag  |  W/m^2/Hz   |  asinh mag  |  W/m^2/Hz   |  asinh mag  |  W/m^2/Hz   |  asinh mag  |  W/m^2/Hz   |   milliJy   |  W/m^2/Hz    
OC457                         | |[HB89] 0133+476               |QSO   |  0.859000|    | 18.0V|             |             |             |             |             |             |             |             |             |             |             |             
PKS0135-247                   | |[HB89] 0135-247               |QSO   |  0.837539|    | 18.4b|             |             |             |             |             |             |             |             |             |             |             |             
PKS0142-278                   | |[HB89] 0142-278               |QSO   |  1.155000|    |  19.0|             |             |             |             |             |             |             |             |             |             |             |             
PKS0149+21                    | |[HB89] 0149+218               |QSO   |  1.320000|    | 20.76|             |             |             |             |             |             |             |             |             |             |             |             
PMNJ0157-4614                 | |WISE J015751.11-461423.2      |QSO   |  2.287000|    | 21.4R|             |             |             |             |             |             |             |             |             |             |             |             
TXS0159+085                   | |GALEXASC J020226.43+084914.1  |QSO   |  0.550000| EST|  19.0|             |             |             |             |             |             |             |             |             |             |             |             
B20200+30                     | |B2 0200+30                    |RadioS|  0.955000|    |      |             |             |             |             |             |             |             |             |             |             |             |             
B20202+31                     | |[HB89] 0202+319               |QSO   |  1.466000|    | 18.23|             |             |             |             |             |             |             |             |             |             |             |             
PKS0202-17                    | |[HB89] 0202-172               |QSO   |  1.739490|    | 18.8b|             |             |             |             |             |             |             |             |             |             |             |             
PMNJ0206-1150                 | |WISE J020626.08-115039.7      |QSO   |  1.663000|    | 19.4R|             |             |             |             |             |             |             |             |             |             |             |             
